uhtbin_url	citable_url
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000168	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-168
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000169	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-169
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000170	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-170
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000172	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-172
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000173	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-172
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000174	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-174
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000175	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-175
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000176	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-176
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000177	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-177
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000178	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-178
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000179	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-179
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000180	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-180
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000181	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-181
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000182	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-182
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000183	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-183
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000184	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-184
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000185	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-185
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000186	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-186
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000187	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-187
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000188	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-188
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000189	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-189
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000190	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-190
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000191	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-191
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000192	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-192
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000193	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-193
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000194	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-194
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000195	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-195
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000196	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-196
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000197	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-197
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000198	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-198
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000199	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-199
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000200	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-200
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000201	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-201
